"('Noise',)","(('nan',), 1.0)"
"('Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Misd Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Population Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('MANHATTAN', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BROOKLYN', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Population Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('QUEENS', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BROOKLYN', 'Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Within Lower IQR')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Higher than IQR', 'Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Lower than IQR')","(('Noise - Residential',), 1.0)"
"('Banging/Pounding', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Population Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House',)","(('Noise - Residential',), 1.0)"
"('Nonmajor Higher than IQR', 'Residential Building/House', 'VC Higher than IQR')","(('Noise - Residential',), 1.0)"
"('BRONX', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BRONX', 'Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Major Higher than IQR', 'Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Higher than IQR')","(('Noise - Residential',), 0.8353467425371999)"
"('Nonmajor Higher than IQR', 'VC Higher than IQR')","(('Noise - Residential',), 0.7527949589104742)"
"('Loud Music/Party', 'Poverty Level Higher than Median')","(('Noise - Residential',), 0.7371262396540154)"
"('Loud Music/Party',)","(('Noise - Residential',), 0.7311982754165651)"
"('Loud Music/Party', 'Nonmajor Within Lower IQR')","(('Noise - Residential',), 0.7151020408163266)"
"('nan',)","(('Noise',), 1.0)"
"('Major Lower than IQR', 'Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Misd Lower than IQR',), 1.0)"
"('Major Lower than IQR', 'Nonmajor Lower than IQR')","(('Misd Lower than IQR',), 1.0)"
"('Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Misd Lower than IQR',), 0.8568379532068947)"
"('Major Lower than IQR', 'VC Lower than IQR')","(('Misd Lower than IQR',), 0.7689324300501171)"
"('BRONX', 'Nonmajor Higher than IQR')","(('Misd Higher than IQR',), 0.7713144963144963)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Major Lower than IQR',), 0.8348415576225761)"
"('Misd Within Lower IQR', 'VC Lower than IQR')","(('MANHATTAN',), 0.9997369805365597)"
"('Poverty Level Higher than Median', 'VC Lower than IQR')","(('MANHATTAN',), 0.8337403022903594)"
"('Major Lower than IQR', 'Poverty Level Higher than Median')","(('MANHATTAN',), 0.7491168028262309)"
"('Major Within Higher IQR', 'Noise - Residential')","(('Loud Music/Party', 'Residential Building/House'), 0.711417152212645)"
"('Noise - Residential', 'Noise Within Higher IQR')","(('Loud Music/Party', 'Residential Building/House'), 0.7112126403959642)"
"('Major Within Higher IQR', 'Noise - Residential', 'Residential Building/House')","(('Loud Music/Party',), 0.711417152212645)"
"('Major Within Higher IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.711417152212645)"
"('Noise - Residential', 'Noise Within Higher IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7112126403959642)"
"('Noise Within Higher IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7112126403959642)"
"('Noise - Residential', 'Population Within Lower IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7070007661965436)"
"('Population Within Lower IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7070007661965436)"
"('Noise - Residential', 'Population Within Lower IQR')","(('Loud Music/Party',), 0.7070007661965436)"
