"('Noise',)","(('nan',), 0.9996121475390761)"
"('Major Lower than IQR', 'Misd Lower than IQR')","(('Nonmajor Lower than IQR',), 0.9685085339469075)"
"('Misd Lower than IQR', 'VC Within Lower IQR')","(('Nonmajor Lower than IQR',), 0.9552813810592022)"
"('Misd Lower than IQR', 'VC Lower than IQR')","(('Nonmajor Lower than IQR',), 0.9130095652530892)"
"('Misd Lower than IQR', 'Poverty Level Lower than Median')","(('Nonmajor Lower than IQR',), 0.9021899466696925)"
"('Misd Lower than IQR', 'Noise - Residential', 'Residential Building/House')","(('Nonmajor Lower than IQR',), 0.8753444101193955)"
"('Misd Lower than IQR', 'Residential Building/House')","(('Nonmajor Lower than IQR',), 0.8753444101193955)"
"('Misd Lower than IQR', 'Poverty Level Higher than Median')","(('Nonmajor Lower than IQR',), 0.8642366613840465)"
"('Loud Music/Party', 'Misd Lower than IQR')","(('Nonmajor Lower than IQR',), 0.8621737575974258)"
"('Major Higher than IQR', 'Noise - Residential')","(('Nonmajor Higher than IQR', 'Residential Building/House'), 0.7142003304855324)"
"('Major Higher than IQR', 'Noise - Residential', 'Residential Building/House')","(('Nonmajor Higher than IQR',), 0.7142003304855324)"
"('Loud Music/Party', 'Nonmajor Within Higher IQR')","(('Noise - Residential', 'Residential Building/House'), 0.7923597567970632)"
"('Misd Higher than IQR',)","(('Noise - Residential', 'Residential Building/House'), 0.7680811115283515)"
"('Major Higher than IQR', 'Nonmajor Higher than IQR')","(('Noise - Residential', 'Residential Building/House'), 0.7479656835671417)"
"('Loud Music/Party', 'Poverty Level Lower than Median')","(('Noise - Residential', 'Residential Building/House'), 0.7282806652390578)"
"('Major Higher than IQR', 'Residential Building/House')","(('Noise - Residential', 'Nonmajor Higher than IQR'), 0.7142003304855324)"
"('Loud Music/Party', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BRONX', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Banging/Pounding', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Within Higher IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BROOKLYN', 'Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Population Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Higher than IQR')","(('Noise - Residential',), 1.0)"
"('Misd Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('MANHATTAN', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BROOKLYN', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('QUEENS', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Lower than IQR')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Population Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House',)","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Within Lower IQR')","(('Noise - Residential',), 1.0)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('BRONX', 'Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Higher than IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BRONX', 'Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Major Higher than IQR', 'Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BRONX', 'Loud Music/Party')","(('Noise - Residential',), 0.860968660968661)"
"('Loud Music/Party', 'Nonmajor Higher than IQR')","(('Noise - Residential',), 0.8275396695566825)"
"('Loud Music/Party', 'Population Within Higher IQR')","(('Noise - Residential',), 0.7994462501504755)"
"('Nonmajor Higher than IQR', 'Poverty Level Higher than Median')","(('Noise - Residential',), 0.7725042828219904)"
"('Loud Music/Party', 'Population Higher than IQR')","(('Noise - Residential',), 0.7541757171747434)"
"('Loud Music/Party', 'Poverty Level Higher than Median')","(('Noise - Residential',), 0.73070003910833)"
"('nan',)","(('Noise',), 1.0)"
"('Noise - Residential', 'Nonmajor Lower than IQR', 'Residential Building/House')","(('Misd Lower than IQR',), 0.9426362165078224)"
"('Nonmajor Lower than IQR', 'Residential Building/House')","(('Misd Lower than IQR',), 0.9426362165078224)"
"('Major Lower than IQR', 'Nonmajor Lower than IQR')","(('Misd Lower than IQR',), 0.9401293419561304)"
"('Nonmajor Lower than IQR', 'VC Within Lower IQR')","(('Misd Lower than IQR',), 0.9160158989946224)"
"('Nonmajor Lower than IQR', 'Poverty Level Lower than Median')","(('Misd Lower than IQR',), 0.9118119266055046)"
"('Loud Music/Party', 'Nonmajor Lower than IQR')","(('Misd Lower than IQR',), 0.9090566393365376)"
"('Nonmajor Lower than IQR', 'Poverty Level Higher than Median')","(('Misd Lower than IQR',), 0.8748663101604278)"
"('Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Misd Lower than IQR',), 0.8701435893423061)"
"('Misd Within Lower IQR', 'VC Lower than IQR')","(('MANHATTAN',), 0.7702712857894342)"
"('Major Within Higher IQR', 'Noise - Residential')","(('Loud Music/Party', 'Residential Building/House'), 0.7060236141685011)"
"('Major Within Higher IQR', 'Noise - Residential', 'Residential Building/House')","(('Loud Music/Party',), 0.7060236141685011)"
"('Major Within Higher IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7060236141685011)"
