"('Noise',)","(('nan',), 1.0)"
"('Loud Music/Party', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Banging/Pounding', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Population Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House',)","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Within Lower IQR')","(('Noise - Residential',), 1.0)"
"('BRONX', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BROOKLYN', 'Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Higher than IQR')","(('Noise - Residential',), 0.8272077166140029)"
"('Loud Music/Party', 'Poverty Level Higher than Median')","(('Noise - Residential',), 0.7478736965289533)"
"('nan',)","(('Noise',), 1.0)"
"('Major Within Lower IQR', 'VC Within Lower IQR')","(('Misd Within Lower IQR',), 0.79212169847528)"
"('Major Lower than IQR', 'Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Misd Lower than IQR',), 1.0)"
"('Major Lower than IQR', 'Nonmajor Lower than IQR')","(('Misd Lower than IQR',), 1.0)"
"('Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Misd Lower than IQR',), 0.930078217587106)"
"('Nonmajor Lower than IQR', 'Poverty Level Lower than Median')","(('Misd Lower than IQR',), 0.8020817150846667)"
"('Misd Within Lower IQR', 'VC Within Lower IQR')","(('Major Within Lower IQR',), 0.8391424875254112)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Major Lower than IQR',), 0.7927406436580748)"
"('MANHATTAN', 'VC Lower than IQR')","(('Major Lower than IQR',), 0.7762950797235338)"
"('Major Within Higher IQR', 'Noise - Residential')","(('Loud Music/Party', 'Residential Building/House'), 0.7088471489533282)"
"('Noise - Residential', 'Residential Building/House', 'VC Within Higher IQR')","(('Loud Music/Party',), 0.710268413430775)"
"('Residential Building/House', 'VC Within Higher IQR')","(('Loud Music/Party',), 0.710268413430775)"
"('Major Within Higher IQR', 'Noise - Residential', 'Residential Building/House')","(('Loud Music/Party',), 0.7088471489533282)"
"('Major Within Higher IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7088471489533282)"
