"('Noise', 'Noise Lower than IQR')","(('nan',), 1.0)"
"('Loud Music/Party', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Residential Building/House',), 0.8066143622341253)"
"('Loud Music/Party', 'Misd Within Higher IQR')","(('Residential Building/House',), 0.7766481760254057)"
"('Major Within Higher IQR', 'Noise Within Lower IQR', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 0.7225019031949117)"
"('Noise - Residential', 'Nonmajor Within Lower IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Poverty Level Lower than Median',), 0.7981774099155589)"
"('NGHBR: Jamaica', 'Noise Lower than IQR')","(('Poverty Level Lower than Median',), 0.7812987866670319)"
"('Noise Within Lower IQR', 'Population Higher than IQR')","(('Poverty Level Lower than Median',), 0.7385243315718906)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR')","(('Poverty Level Lower than Median',), 0.7370361893135984)"
"('Noise - Residential', 'Population Within Lower IQR', 'Residential Building/House')","(('Poverty Level Lower than Median',), 0.7051806874938792)"
"('Major Within Higher IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('Population Lower than IQR', 'VC Within Higher IQR'), 0.8679844047511107)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Noise Lower than IQR')","(('Population Lower than IQR', 'VC Within Higher IQR'), 0.8518507715194119)"
"('Misd Within Lower IQR', 'Noise - Residential', 'Noise Lower than IQR')","(('Population Lower than IQR', 'Residential Building/House'), 0.8781754125718524)"
"('Noise - Residential', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('Population Lower than IQR', 'Residential Building/House'), 0.7481851094561894)"
"('Major Within Lower IQR', 'Noise Lower than IQR', 'Nonmajor Lower than IQR')","(('Population Lower than IQR',), 1.0)"
"('Major Within Lower IQR', 'Noise Lower than IQR')","(('Population Lower than IQR',), 1.0)"
"('Noise Lower than IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Population Lower than IQR',), 0.8881324366270047)"
"('Misd Within Lower IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Residential Building/House')","(('Population Lower than IQR',), 0.8796978515262213)"
"('Major Within Higher IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Population Lower than IQR',), 0.8679844047511107)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('Population Lower than IQR',), 0.8518507715194119)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Noise Lower than IQR')","(('Population Lower than IQR',), 0.7764532984977139)"
"('Noise Lower than IQR', 'VC Within Higher IQR')","(('Population Lower than IQR',), 0.7730994582138216)"
"('Loud Music/Party', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('Population Lower than IQR',), 0.7562461538461539)"
"('Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Lower than IQR')","(('Population Lower than IQR',), 0.7505000485484028)"
"('Noise Lower than IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Population Lower than IQR',), 0.7499576932478423)"
"('Noise - Residential', 'Noise Lower than IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Population Lower than IQR',), 0.7499576932478423)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Population Lower than IQR',), 0.7438617313255693)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Lower than IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Population Lower than IQR',), 0.7438617313255693)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('Population Lower than IQR',), 0.7436042925866535)"
"('NGHBR: West Queens', 'Noise Within Lower IQR', 'VC Within Lower IQR')","(('Population Higher than IQR',), 1.0)"
"('NGHBR: West Queens', 'Noise Within Lower IQR')","(('Population Higher than IQR',), 0.757516874616486)"
"('102', 'Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens')","(('Nonmajor Within Lower IQR', 'VC Within Higher IQR'), 1.0)"
"('102', 'Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'VC Within Higher IQR')","(('Nonmajor Within Lower IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'VC Within Higher IQR')","(('Nonmajor Within Lower IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'NGHBR: Southwest Queens', 'VC Within Higher IQR')","(('Nonmajor Within Lower IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'Misd Within Lower IQR', 'VC Within Higher IQR')","(('Nonmajor Within Lower IQR',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'VC Within Higher IQR')","(('Nonmajor Within Lower IQR',), 0.9246792119531883)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Poverty Level Lower than Median')","(('Nonmajor Within Lower IQR',), 0.9063360020015011)"
"('Major Within Higher IQR', 'Population Higher than IQR')","(('Nonmajor Within Lower IQR',), 0.8984271855806211)"
"('Major Within Higher IQR', 'Noise Within Lower IQR', 'Population Higher than IQR')","(('Nonmajor Within Lower IQR',), 0.8984271855806211)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Residential Building/House')","(('Nonmajor Within Lower IQR',), 0.8760487528344671)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'VC Within Higher IQR')","(('Nonmajor Within Lower IQR',), 0.8518045145357653)"
"('Major Within Higher IQR', 'Noise - Residential', 'Noise Within Lower IQR', 'Residential Building/House')","(('Nonmajor Within Lower IQR',), 0.8300465509944985)"
"('Major Within Higher IQR', 'Noise Within Lower IQR', 'Residential Building/House')","(('Nonmajor Within Lower IQR',), 0.8300465509944985)"
"('Major Within Higher IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Nonmajor Within Lower IQR',), 0.7948141888410248)"
"('Misd Within Lower IQR', 'VC Within Higher IQR')","(('Nonmajor Within Lower IQR',), 0.7550410491711056)"
"('Major Within Higher IQR', 'Noise Lower than IQR', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Nonmajor Within Lower IQR',), 0.7476569821930646)"
"('Major Higher than IQR', 'Misd Within Higher IQR', 'Noise Lower than IQR')","(('Nonmajor Within Higher IQR',), 0.8196800226532635)"
"('Major Higher than IQR', 'Noise Lower than IQR', 'Poverty Level Higher than Median')","(('Nonmajor Within Higher IQR',), 0.7388455138871112)"
"('Misd Within Higher IQR', 'Noise Lower than IQR')","(('Nonmajor Within Higher IQR',), 0.7115117891816921)"
"('Major Within Lower IQR', 'Misd Lower than IQR')","(('Nonmajor Lower than IQR', 'VC Within Lower IQR'), 0.7701293283270755)"
"('Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR')","(('Nonmajor Lower than IQR', 'Residential Building/House'), 0.7417916186082276)"
"('Major Within Lower IQR', 'Misd Lower than IQR', 'VC Within Lower IQR')","(('Nonmajor Lower than IQR',), 1.0)"
"('Major Within Lower IQR', 'Misd Lower than IQR', 'Poverty Level Lower than Median')","(('Nonmajor Lower than IQR',), 1.0)"
"('Major Within Lower IQR', 'Population Lower than IQR')","(('Nonmajor Lower than IQR',), 0.953046550548565)"
"('Major Within Lower IQR', 'Noise Lower than IQR', 'Population Lower than IQR')","(('Nonmajor Lower than IQR',), 0.953046550548565)"
"('Misd Lower than IQR', 'Noise Lower than IQR', 'Population Lower than IQR')","(('Nonmajor Lower than IQR',), 0.9093411764705882)"
"('Major Within Lower IQR', 'Poverty Level Lower than Median')","(('Nonmajor Lower than IQR',), 0.8725791538596097)"
"('Misd Lower than IQR', 'Poverty Level Lower than Median')","(('Nonmajor Lower than IQR',), 0.8168562387753356)"
"('Misd Lower than IQR', 'Noise Lower than IQR')","(('Nonmajor Lower than IQR',), 0.7949090010960004)"
"('Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Residential Building/House')","(('Nonmajor Lower than IQR',), 0.7444247241299483)"
"('NGHBR: West Queens', 'Population Higher than IQR')","(('Noise Within Lower IQR', 'VC Within Lower IQR'), 0.891238018090995)"
"('NGHBR: West Queens', 'Noise - Residential')","(('Noise Within Lower IQR', 'Residential Building/House'), 0.7859528462927686)"
"('NGHBR: West Queens', 'VC Within Lower IQR')","(('Noise Within Lower IQR', 'Population Higher than IQR'), 1.0)"
"('Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'Population Higher than IQR')","(('Noise Within Lower IQR',), 1.0)"
"('Population Higher than IQR', 'Poverty Level Lower than Median')","(('Noise Within Lower IQR',), 1.0)"
"('NGHBR: West Queens', 'Population Higher than IQR', 'VC Within Lower IQR')","(('Noise Within Lower IQR',), 1.0)"
"('Loud Music/Party', 'Population Higher than IQR')","(('Noise Within Lower IQR',), 0.9318562004860651)"
"('Noise - Residential', 'Population Higher than IQR', 'Residential Building/House')","(('Noise Within Lower IQR',), 0.8969216035025311)"
"('Population Higher than IQR', 'Residential Building/House')","(('Noise Within Lower IQR',), 0.8969216035025311)"
"('Noise - Residential', 'Population Higher than IQR')","(('Noise Within Lower IQR',), 0.8966533016938057)"
"('Major Within Higher IQR', 'NGHBR: West Queens')","(('Noise Within Lower IQR',), 0.8106418827110169)"
"('NGHBR: West Queens', 'Noise - Residential', 'Residential Building/House')","(('Noise Within Lower IQR',), 0.7879020857617619)"
"('Noise',)","(('Noise Lower than IQR', 'nan'), 0.7853101532764118)"
"('Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR')","(('Noise Lower than IQR', 'VC Within Higher IQR'), 1.0)"
"('Misd Within Lower IQR', 'Noise - Residential', 'Population Lower than IQR')","(('Noise Lower than IQR', 'Residential Building/House'), 0.9983136593591906)"
"('Noise - Residential', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Noise Lower than IQR', 'Residential Building/House'), 0.9981231231231231)"
"('Loud Music/Party', 'Noise - Residential', 'Population Lower than IQR')","(('Noise Lower than IQR', 'Residential Building/House'), 0.9975294939042948)"
"('Loud Music/Party', 'Noise - Residential', 'Population Lower than IQR', 'Poverty Level Lower than Median')","(('Noise Lower than IQR', 'Residential Building/House'), 0.9973153928259534)"
"('Noise - Residential', 'Population Lower than IQR', 'Poverty Level Lower than Median')","(('Noise Lower than IQR', 'Residential Building/House'), 0.9972689828080229)"
"('Noise - Residential', 'VC Higher than IQR')","(('Noise Lower than IQR', 'Residential Building/House'), 0.8486275629132772)"
"('Misd Lower than IQR', 'Noise - Residential', 'Nonmajor Lower than IQR')","(('Noise Lower than IQR', 'Residential Building/House'), 0.8316140340794804)"
"('NGHBR: Jamaica',)","(('Noise Lower than IQR', 'Poverty Level Lower than Median'), 0.7812987866670319)"
"('Major Within Higher IQR', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Noise Lower than IQR', 'Nonmajor Within Lower IQR'), 0.7476569821930646)"
"('Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 1.0)"
"('Loud Music/Party', 'Population Lower than IQR', 'Poverty Level Higher than Median')","(('Noise Lower than IQR',), 1.0)"
"('Loud Music/Party', 'Population Lower than IQR', 'Poverty Level Lower than Median')","(('Noise Lower than IQR',), 1.0)"
"('Major Within Higher IQR', 'Noise - Residential', 'Population Lower than IQR', 'Residential Building/House')","(('Noise Lower than IQR',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Population Lower than IQR')","(('Noise Lower than IQR',), 1.0)"
"('NGHBR: Jamaica', 'Poverty Level Lower than Median')","(('Noise Lower than IQR',), 1.0)"
"('2015', 'Population Lower than IQR')","(('Noise Lower than IQR',), 1.0)"
"('Major Lower than IQR', 'Misd Lower than IQR')","(('Noise Lower than IQR',), 1.0)"
"('Loud Music/Party', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 1.0)"
