"('Noise',)","(('nan',), 1.0)"
"('Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 0.9998911979109999)"
"('Misd Lower than IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9998879853036718)"
"('Major Within Lower IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9998824796787777)"
"('Noise - Residential', 'Population Within Lower IQR')","(('Residential Building/House',), 0.9998806350216847)"
"('Noise - Residential', 'Noise Within Lower IQR')","(('Residential Building/House',), 0.9998719426302983)"
"('Noise - Residential', 'Nonmajor Lower than IQR')","(('Residential Building/House',), 0.9998716665383333)"
"('Misd Higher than IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9998712833054447)"
"('Noise - Residential', 'Population Lower than IQR')","(('Residential Building/House',), 0.999868354652566)"
"('MANHATTAN', 'Noise - Residential')","(('Residential Building/House',), 0.9998649469916943)"
"('Banging/Pounding', 'Noise - Residential')","(('Residential Building/House',), 0.9998421156502861)"
"('Banging/Pounding',)","(('Residential Building/House',), 0.9196057432248461)"
"('Loud Music/Party', 'VC Within Higher IQR')","(('Residential Building/House',), 0.7224390150131678)"
"('Major Higher than IQR', 'VC Higher than IQR')","(('Poverty Level Higher than Median',), 0.8056798861940946)"
"('Major Higher than IQR', 'Noise - Residential', 'Residential Building/House')","(('Poverty Level Higher than Median',), 0.7489739817252594)"
"('Misd Within Lower IQR', 'Poverty Level Lower than Median')","(('Nonmajor Within Lower IQR',), 0.7946728144747947)"
"('BROOKLYN', 'Major Within Higher IQR')","(('Nonmajor Within Higher IQR',), 0.7379734262851146)"
"('Misd Lower than IQR', 'VC Lower than IQR')","(('Nonmajor Lower than IQR',), 0.9715552205592046)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'VC Lower than IQR')","(('Nonmajor Lower than IQR',), 0.9632965913301222)"
"('Major Lower than IQR', 'Misd Lower than IQR')","(('Nonmajor Lower than IQR',), 0.881856399306019)"
"('Misd Lower than IQR', 'Poverty Level Higher than Median')","(('Nonmajor Lower than IQR',), 0.8636107009467558)"
"('Misd Lower than IQR', 'Poverty Level Lower than Median')","(('Nonmajor Lower than IQR',), 0.8545126278000545)"
"('Major Lower than IQR', 'VC Lower than IQR')","(('Nonmajor Lower than IQR',), 0.7163005329520343)"
"('Street/Sidewalk',)","(('Noise - Street/Sidewalk',), 0.7290783076445639)"
"('Loud Music/Party', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BROOKLYN', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Higher than IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Poverty Level Higher than Median', 'Residential Building/House', 'VC Higher than IQR')","(('Noise - Residential',), 1.0)"
"('Noise Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Higher than IQR')","(('Noise - Residential',), 1.0)"
"('Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('MANHATTAN', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('QUEENS', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Higher than IQR', 'Residential Building/House', 'VC Higher than IQR')","(('Noise - Residential',), 1.0)"
"('Major Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Banging/Pounding', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House',)","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Within Lower IQR')","(('Noise - Residential',), 1.0)"
"('BRONX', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('BROOKLYN', 'Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('nan',)","(('Noise',), 0.9993227361459702)"
"('Major Lower than IQR', 'Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Misd Lower than IQR',), 0.9436303420742219)"
"('Nonmajor Lower than IQR', 'Poverty Level Lower than Median')","(('Misd Lower than IQR',), 0.9134425493716337)"
"('Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Misd Lower than IQR',), 0.8547182620502376)"
"('Nonmajor Lower than IQR', 'Poverty Level Higher than Median')","(('Misd Lower than IQR',), 0.8419281087260256)"
"('BRONX', 'Major Higher than IQR')","(('Misd Higher than IQR',), 0.826527447534374)"
"('BROOKLYN', 'Nonmajor Within Higher IQR')","(('Major Within Higher IQR',), 0.8942456172222727)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Major Lower than IQR',), 0.7684023865378576)"
"('BRONX', 'VC Higher than IQR')","(('Major Higher than IQR',), 1.0)"
"('Poverty Level Higher than Median', 'VC Higher than IQR')","(('Major Higher than IQR',), 0.8477574341468758)"
"('BRONX', 'Misd Higher than IQR')","(('Major Higher than IQR',), 0.803921568627451)"
"('Nonmajor Higher than IQR', 'VC Higher than IQR')","(('Major Higher than IQR',), 0.7630876284489037)"
"('Noise - Residential', 'VC Higher than IQR')","(('Major Higher than IQR',), 0.7379139012802379)"
"('Noise - Residential', 'Residential Building/House', 'VC Higher than IQR')","(('Major Higher than IQR',), 0.7378948895578687)"
"('Noise - Residential', 'Noise Within Higher IQR')","(('Loud Music/Party', 'Residential Building/House'), 0.7119168809361389)"
"('Noise Within Higher IQR', 'Residential Building/House')","(('Loud Music/Party', 'Noise - Residential'), 0.7119293335665559)"
"('Noise - Residential', 'Noise Within Higher IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7119293335665559)"
"('Major Within Higher IQR', 'Nonmajor Within Higher IQR')","(('BROOKLYN',), 0.9122477818704102)"
"('Major Higher than IQR', 'Misd Higher than IQR')","(('BRONX',), 0.9534428888305865)"
